,teacher_id,alpha_index,batch_id
483,pereadam,a,5
484,nisabho_bhikkhu,a,5
485,theheartpractice,a,5
486,anacaner,a,5
487,antje_firla,a,5
488,praktijkpaz,a,5
489,the-yoga-goat,a,5
490,embodiedcreatures,a,5
491,annikuusik,a,5
492,alokmitus,a,5
493,annettebroy,a,5
494,ashasukha,a,5
495,agarzilla,a,5
496,athenaburke,a,5
497,andrvoloshenko,a,5
498,adikaur,a,5
499,aleyadao,a,5
500,aurapriscel,a,6
501,transforma,a,6
502,agajcieslak,a,6
503,aislingquigley,a,6
504,ankedesign,a,6
505,kutuzov_psy,a,6
506,littoralbeing,a,6
507,adriennet,a,6
508,amycuddy,a,6
509,yinyangann,a,6
510,amy,a,6
511,arttucoach,a,6
512,amandafield,a,6
513,amavalon,a,6
514,andreaskendzerski,a,6
515,aimee.yoga,a,6
516,amandineadnot,a,6
517,atmanali,a,6
518,andrawestlebauer,a,6
519,antoniojorgelarruy,a,6
520,yogi.moksha,a,6
521,theangelmystic,a,6
522,annalenastolt,a,6
523,anami,a,6
524,alannahlevian,a,6
525,anniejameson,a,6
526,alpajoshi,a,6
527,andressapeters,a,6
528,armindyoga,a,6
529,lovefromamy,a,6
530,auroralyra,a,6
531,annemarierossi,a,6
532,alexmcdonald,a,6
533,sparkle,a,6
534,annaaberg,a,6
535,anjathelen,a,6
536,delina,a,6
537,wakeupcallcoach,a,6
538,austinbauer,a,6
539,aliciamaher,a,6
540,aimeegranados,a,6
541,aurafitness,a,6
542,aritanascimentoo,a,6
543,fireinthebellyhealing,a,6
544,amberjanemccormick,a,6
545,angekatz,a,6
546,andersonalegro,a,6
547,dear_abigail_,a,6
548,annasunchoi,a,6
549,sunoflife,a,6
550,alexnguyen,a,6
551,amla,a,6
552,paul,a,6
553,amygallo,a,6
554,ariadnatapia,a,6
555,aerowenn,a,6
556,breathandinspiration,a,6
557,cahrf_,a,6
558,averylane,a,6
559,ambikadevi,a,6
560,aroshanti,a,6
561,peaceloveaudio,a,6
562,almabyanaya,a,6
563,thealeeshasimone,a,6
564,athilacampos,a,6
565,attealhainen,a,6
566,anthonymyr,a,6
567,andreakanefrank,a,6
568,anja.benesch,a,6
569,annriddell,a,6
570,atmagovinda,a,6
571,theinstituteforaliveness,a,6
572,allisonlrichard,a,6
573,grigat,a,6
574,moss.alicia.b,a,6
575,lovebeancacao,a,6
576,antoniovibes,a,6
577,alexiszahner,a,6
578,ayyasudinna,a,6
579,adamdince,a,6
580,namastarkids,a,6
581,pub6446761,a,6
582,axismundi,a,6
583,abigailk,a,6
584,ambientologist,a,6
585,angelagrillo,a,6
586,boje17,a,6
587,asamiyoga,a,6
588,annakaminski,a,6
589,alexmoller,a,6
590,ayumitankejpn,a,6
591,angelica_badillo_coach,a,6
592,ashneu,a,6
593,adironnda,a,6
594,aureliaserena,a,6
595,inbalance-healing,a,6
596,anjikat,a,6
597,yogatherapygeelong,a,6
598,amberlove,a,6
599,adriana.gog,a,6
600,springspsychotherapy,a,7
601,amandasophia,a,7
602,annpbaker,a,7
603,any,a,7
604,americameditating,a,7
605,anchaljyoti,a,7
606,athenawong,a,7
607,pub1168177,a,7
608,alexandrapils,a,7
609,ajayanborys,a,7
610,annieaitken,a,7
611,watersoundman,a,7
612,ahartman13,a,7
613,aldream,a,7
614,abd-ha,a,7
615,andreamorgenstern,a,7
616,artofloving,a,7
617,atouchofzenyoga,a,7
618,yogingi,a,7
619,adriannadreams,a,7
620,adrianada.cunha,a,7
621,alexanzalone,a,7
622,anaisskoutariotis,a,7
623,thefullyinspiredyogi,a,7
624,anishalamba,a,7
625,tonimindfull,a,7
626,devasena,a,7
627,soulsagemusic,a,7
628,audrey,a,7
629,alon,a,7
630,adriarne,a,7
631,aislingquigleyaustralia,a,7
632,ashleybeasley,a,7
633,aparikh,a,7
634,annikpaprika,a,7
635,alba,a,7
636,andrewneel,a,7
637,alimortimer,a,7
638,anjas,a,7
639,aewickham,a,7
640,anacalvo,a,7
641,artiewu,a,7
642,annalarsonmusic,a,7
643,cosmic__whale,a,7
644,ahnaom,a,7
645,alexmurrieta,a,7
646,amandarodd,a,7
647,alexschuerman,a,7
648,yoginianna,a,7
649,aleelink,a,7
650,abidavis,a,7
651,anna_anna1,a,7
652,krapenitskiy,a,7
653,artemisvandevi,a,7
654,avidaquantica,a,7
655,everlong_yoga,a,7
656,sagamoreyoga,a,7
657,annsophie,a,7
658,kreida,a,7
659,spiritual-sunrise,a,7
660,augustahopkins,a,7
661,holistichealth,a,7
662,ayni,a,7
663,goodvibrations_ht,a,7
664,abedah_chasulwa,a,7
665,73alexanders,a,7
666,abbygoodwinlove,a,7
667,annerie,a,7
668,aaronzachariah,a,7
669,angelhu,a,7
670,annmathie,a,7
671,typeayoga,a,7
672,annagagliuffi,a,7
673,arielle.ashford,a,7
674,skeptic_buddha,a,7
675,aetheiros,a,7
676,zodiacastros,a,7
677,amandamadhu,a,7
678,angiehilton,a,7
679,abeautifulglow,a,7
680,amagine,a,7
681,anoukdamen,a,7
682,amandamiranda,a,7
683,fittayoga,a,7
684,astellavanheijst,a,7
685,afirmacoesparaalma,a,7
686,bartoa0223,a,7
687,aliss,a,7
688,angiecorogin,a,7
689,ashleyfiorili,a,7
690,relaxwithadam,a,7
691,alineneelama,a,7
692,splinkyourlife,a,7
693,alisonbristow,a,7
694,lowellness,a,7
695,aprillovett,a,7
696,alissadbla,a,7
697,annastina,a,7
698,ang,a,7
699,andrea_claassen,a,7
700,therapeutic_serenity,a,8
701,anja_lenz,a,8
702,amyvcooper,a,8
703,adrianajade,a,8
704,ajpucci,a,8
705,anittajensen,a,8
706,anneofthewoods,a,8
707,ardaozdemir,a,8
708,aileyjolie,a,8
709,callumsenergymedicine,a,8
710,amyrogg,a,8
711,borycoach,a,8
712,annkristinsivertsen,a,8
713,afromeditacao,a,8
714,premamrito,a,8
715,adamchall,a,8
716,alinabaratech,a,8
717,flourishbydesign,a,8
718,sacredrising,a,8
719,anatu,a,8
720,alextodeschini,a,8
721,adamcarbary,a,8
722,arielrubens,a,8
723,pleasurewellness,a,8
724,aware-gemeinsambewusstsein,a,8
725,amahrajaxen,a,8
726,awyndham,a,8
727,academiadespierta,a,8
728,amcginty,a,8
729,molyckan,a,8
730,aklewis,a,8
731,nicholecalm,a,8
732,soulspeaks,a,8
733,alanacuri,a,8
734,alexandramietusch,a,8
735,breathatelier,a,8
736,anniemahon,a,8
737,pub16308258,a,8
738,alexnashton,a,8
739,antonpaz,a,8
740,angieibarra,a,8
741,andyfromcale,a,8
742,alisonmclean,a,8
743,aaralynshiri,a,8
744,anngrace,a,8
745,ameliahellyer,a,8
746,alexanderpappas,a,8
747,mindfulminutes,a,8
748,aylasybil,a,8
749,enclave3,a,8
750,anajardim,a,8
751,anandisano,a,8
752,axelkranz,a,8
753,adamyogistonebraker,a,8
754,adreannalimbach,a,8
755,anandakalika,a,8
756,alyssayoung.art,a,8
757,anaissaegesser,a,8
758,amymorrison,a,8
759,arezky,a,8
760,aaadesrochers,a,8
761,meditation4parkinson,a,8
762,adoseofari,a,8
763,almaconsciente,a,8
764,akrj,a,8
765,abby,a,8
766,alibetts,a,8
767,ameliechanda,a,8
768,ambervalentinewellness,a,8
769,tranquilhearts,a,8
770,anastasiiaseverina,a,8
771,peacebthejourney,a,8
772,durgadevi,a,8
773,amandabaiocco,a,8
774,annaravenscroft,a,8
775,iam_music,a,8
776,ana.pupato,a,8
777,anisha_grace,a,8
778,leaf-lessons,a,8
779,pub4052295,a,8
780,pub3089300,a,8
781,alonsotrb,a,8
782,dragonwithin,a,8
783,asiltoksal,a,8
784,abbyilardi,a,8
785,amylaurenyogatherapy,a,8
786,andre.etc,a,8
787,malibumeditationsjourney,a,8
788,angelbalhana,a,8
789,chaosandlight,a,8
790,aura2020,a,8
791,agustinroselli,a,8
792,artblevins,a,8
793,craftngthespirit,a,8
794,ashleywinkelspecht,a,8
795,adampotts,a,8
796,anacoe,a,8
797,audcha,a,8
798,renaissance-cec,a,8
799,andreasoto,a,8
800,theintimacyguide,a,9
801,alextacket,a,9
802,alisasimonenko,a,9
803,ank-hara,a,9
804,carolpcost00001,a,9
805,anuttara,a,9
806,agusavila,a,9
807,ancientbliss,a,9
808,anzahata,a,9
809,laly,a,9
810,asha-akashicrecords,a,9
811,astralwell,a,9
812,amandaewell,a,9
813,alanverbeke,a,9
814,hartspace,a,9
815,reduce_yoga,a,9
816,annasimone,a,9
817,annecwellness,a,9
818,vidhavera,a,9
819,amandamackay,a,9
820,amycamie,a,9
821,ashleyvoth,a,9
822,mapadonascimento,a,9
823,anhkashichealing,a,9
824,arwenevenstar,a,9
825,anaflavia,a,9
826,arvavilov,a,9
827,ashking,a,9
828,ashley.renee,a,9
829,amylowerycounseling,a,9
830,alannahmorganyoga,a,9
831,refeelyoga,a,9
832,your.friend.arthur,a,9
833,aaronholisticarts,a,9
834,b-onemindfulness,a,9
835,andreafirpo,a,9
836,breathecreativity,a,9
837,angelshannon,a,9
838,functionalspirituality,a,9
839,azalealee,a,9
840,antheacesaro,a,9
841,abarrett1975,a,9
842,annanirvana,a,9
843,ashleystjohnyoga,a,9
844,amandaupton,a,9
845,yoga_with_anastasia,a,9
846,musiciann91,a,9
847,skymind,a,9
848,antheasimpson,a,9
849,amybradley,a,9
850,afeathers,a,9
851,alexprenzel,a,9
852,ameliaclare,a,9
853,alohajacqueline,a,9
854,abidorhosti,a,9
855,amoritazm,a,9
856,abia817,a,9
857,amyedelstein,a,9
858,ashleyepstein,a,9
859,adamsargant,a,9
860,annevanlaarhoven,a,9
861,arifonspsicologa,a,9
862,alexandrathomas,a,9
863,annebeaureder,a,9
864,amormuto,a,9
865,annamarie,a,9
866,samadhiyoganidra,a,9
867,alejandrabrugarolas,a,9
868,mindfulnessmaven,a,9
869,annachristinebowden,a,9
870,ariyanakimah,a,9
871,evenstarrising,a,9
872,amynatalieco,a,9
873,alejandro.cl,a,9
874,anijhawan,a,9
875,arunamay,a,9
876,amyballantyne,a,9
877,anikaludszuweit,a,9
878,bigskymind,a,9
879,antesajensen,a,9
880,alessandramiranda,a,9
881,ariannedacosta,a,9
882,apprendreletarot,a,9
883,alana_steicke,a,9
884,angelmassie,a,9
885,awakenedlife,a,9
886,universalbeing,a,9
887,andreavosikova,a,9
888,arunthompson,a,9
889,breathingalchemy,a,9
890,shantisoha,a,9
891,abbirodriguez,a,9
892,projectself,a,9
893,therealearthmama,a,9
894,albertorivera,a,9
895,andreacbachman,a,9
896,all1union,a,9
897,amandataylor,a,9
898,aliceletts,a,9
899,alayabarnes,a,9
900,ara.marz,a,10
901,radiantbeingyoga,a,10
902,ana_paula,a,10
903,anaisortizhomebody,a,10
904,alineoliveirarp,a,10
905,psicologajackieanaya,a,10
906,alexamazzei,a,10
907,niniyogini,a,10
908,soulcounselling,a,10
909,aliciarae_yoga,a,10
910,feelingeverything,a,10
911,amiashtangi,a,10
912,aline.lopes,a,10
913,shaydden_light,a,10
914,anna.will.yoga,a,10
915,alisonintheuniverse,a,10
916,alissaprice,a,10
917,meditacionenti,a,10
918,andrea_castillo,a,10
919,solinflow,a,10
920,temploanandi,a,10
921,amyedwardstherapy,a,10
922,angeletilly,a,10
923,sadejaleks,a,10
924,alimaya,a,10
925,annadavid,a,10
926,aprendebudismo,a,10
927,allisongraham,a,10
928,oordeelzacht,a,10
929,annemarie,a,10
930,avanayoga,a,10
931,deeperwisdom,a,10
932,annegallienvoices,a,10
933,annijakenfelds,a,10
934,aetheaum,a,10
935,andreakeefe,a,10
936,annetteboden,a,10
937,alicechepeau,a,10
938,annickina,a,10
939,das_wesentliche,a,10
940,abbywilliamz,a,10
941,alisonware,a,10
942,ambayoganyc,a,10
943,aislingleonard.ie,a,10
944,pub1964839,a,10
945,bolden_am,a,10
946,analidiamoraes,a,10
947,allanray,a,10
948,adriennlivingonlight,a,10
949,abbycraden,a,10
950,aksinia_yoga,a,10
951,soulnourishedmentor,a,10
952,anaromero.sowilo,a,10
953,araba.oa,a,10
954,aslita,a,10
955,amelielaurent,a,10
956,anatheresamsp,a,10
957,blissfulenergy,a,10
958,alimacmusic,a,10
959,stressfreephd,a,10
960,abri.kenin,a,10
961,soulandsunyoga,a,10
962,resilientone,a,10
963,shanki,a,10
964,brightjiva,a,10
965,akasavajrimartha,a,10
966,allisonswartswilliamson,a,10
967,breakthroughninja,a,10
968,annmurugan,a,10
969,amemanuelli,a,10
970,sheykah,a,10
971,asmaldino,a,10
972,anapaulaleme,a,10
973,adrianaelena,a,10
974,amandapalmer,a,10
975,sattvasoundstudio,a,10
976,fortunaliving,a,10
977,anahataananda,a,10
978,amandakuda,a,10
979,behealthywithanamarinho,a,10
980,almudenadeandres,a,10
981,ashleyweber,a,10
982,alexandragudereit,a,10
983,shigann,a,10
984,alicewyoga,a,10
985,rini,a,10
986,loginovaanna,a,10
987,omgirlalli,a,10
988,amberlebocsy,a,10
989,annadebbage,a,10
990,aliz.ruppl,a,10
991,adalenmae,a,10
992,arturlorenz,a,10
993,foundonallfours,a,10
994,alessia.goglio,a,10
995,ellamaria,a,10
996,zen_obi,a,10
997,meyora,a,10
998,beatpeacewithalison,a,10
999,amanda,a,10
1000,meyora,a,11
1001,amysatterfield,a,11
1002,pacedbreathing,a,11
1003,upgretable,a,11
1004,argos,a,11
1005,beyondomwithapril,a,11
1006,aliciadrake,a,11
1007,ayurnaada,a,11
1008,aeronlazar,a,11
1009,ashkilback,a,11
1010,lisadarveniza,a,11
1011,abigailmytych,a,11
1012,nativawellbeing,a,11
1013,alinaelvn,a,11
1014,dicamandinha,a,11
1015,anantakranti,a,11
1016,amalasiddhi,a,11
1017,agreenerlife,a,11
1018,amandajanealignmenttransformations,a,11
1019,alexsbertoli,a,11
1020,alexfisherintuitive,a,11
1021,amandajoy77,a,11
1022,andreaserafino,a,11
1023,aliah,a,11
1024,anastasiab,a,11
1025,yogatiger,a,11
1026,adelehoddinott,a,11
1027,treatyourselfwellness,a,11
1028,anyamaren,a,11
1029,amberstephens,a,11
1030,pasolympia,a,11
1031,pub3404212,a,11
1032,ammiel.elia,a,11
1033,abisjournal,a,11
1034,liminalliety,a,11
1035,amy.babish,a,11
1036,lovefillsmyheart,a,11
1037,lovinglightwork,a,11
1038,fitnessbyariel,a,11
1039,adamprieto,a,11
1040,angelasmith,a,11
1041,alexa_torontow,a,11
1042,annieborg,a,11
1043,iamunbotheredgoddess,a,11
1044,alovingspace,a,11
1045,gritmeditation,a,11
1046,anyakinneavy,a,11
1047,annazaikina,a,11
1048,angeli,a,11
1049,alkakaminer,a,11
1050,alisonxcromie,a,11
1051,angywolf,a,11
1052,alexure,a,11
1053,ava.chand,a,11
1054,asherpackman,a,11
1055,alexvannucci,a,11
1056,aleader,a,11
1057,pub15883595,a,11
1058,higherwisdom_555,a,11
1059,ashleydavisbush,a,11
1060,pub1947634,a,11
1061,alisaandrea,a,11
1062,ayreanna,a,11
1063,amarande_yoganidra,a,11
1064,anaortega,a,11
1065,iinak,a,11
1066,annhobbs,a,11
1067,arianakamprad,a,11
1068,aruldev,a,11
1069,atipler,a,11
1070,avrilintuitive,a,11
1071,amydunstan.com,a,11
1072,alicjabednarek,a,11
1073,acharyaprashant,a,11
