,teacher_id,alpha_index
439,amandaschultz,a
440,astralcommunionok,a
441,loveandlight,a
442,andreacarrani,a
443,anastasia_m,a
444,alexandraalmond,a
445,lovedreamlive,a
446,shineon,a
447,allisonterrell,a
448,pausewithalexis,a
449,angelamiele,a
450,parenthesepositive,a
451,alextreglazoffdober,a
452,drabbeyleighayd,a
453,alicemendonca,a
454,shivshakti,a
455,amyrutledge443,a
456,adrianasanchez,a
457,agapijoy,a
458,alelmt,a
459,chouettemeditation,a
460,antoniocuenca,a
461,anahitaholdenphd,a
462,compazzi_annemarie,a
463,awolfe,a
464,alicelapeta333,a
465,musicasmedicine,a
466,aliciameek,a
467,renascencemusic,a
468,mbsr-aw,a
469,aiko108,a
470,benditodharma,a
471,annelyse,a
472,akleidoscope,a
473,amybieganek,a
474,seasideshaman,a
475,thequietone,a
476,lovingkindnessyoga,a
477,aadityashastri,a
478,alisonhutchens,a
479,angelaquinn.yoga,a
480,aykanna,a
481,auntyamanda,a
482,rvaheartfulness,a
483,pereadam,a
484,nisabho_bhikkhu,a
485,theheartpractice,a
486,anacaner,a
487,antje_firla,a
488,praktijkpaz,a
489,the-yoga-goat,a
490,embodiedcreatures,a
491,annikuusik,a
492,alokmitus,a
493,annettebroy,a
494,ashasukha,a
495,agarzilla,a
496,athenaburke,a
497,andrvoloshenko,a
498,adikaur,a
499,aleyadao,a
500,aurapriscel,a
501,transforma,a
502,agajcieslak,a
503,aislingquigley,a
504,ankedesign,a
505,kutuzov_psy,a
506,littoralbeing,a
507,adriennet,a
508,amycuddy,a
509,yinyangann,a
510,amy,a
511,arttucoach,a
512,amandafield,a
513,amavalon,a
514,andreaskendzerski,a
515,aimee.yoga,a
516,amandineadnot,a
517,atmanali,a
518,andrawestlebauer,a
519,antoniojorgelarruy,a
520,yogi.moksha,a
521,theangelmystic,a
522,annalenastolt,a
523,anami,a
524,alannahlevian,a
525,anniejameson,a
526,alpajoshi,a
527,andressapeters,a
528,armindyoga,a
529,lovefromamy,a
530,auroralyra,a
531,annemarierossi,a
532,alexmcdonald,a
533,sparkle,a
534,annaaberg,a
535,anjathelen,a
536,delina,a
537,wakeupcallcoach,a
538,austinbauer,a
539,aliciamaher,a
540,aimeegranados,a
541,aurafitness,a
542,aritanascimentoo,a
543,fireinthebellyhealing,a
544,amberjanemccormick,a
545,angekatz,a
546,andersonalegro,a
547,dear_abigail_,a
548,annasunchoi,a
549,sunoflife,a
550,alexnguyen,a
551,amla,a
552,paul,a
553,amygallo,a
554,ariadnatapia,a
555,aerowenn,a
556,breathandinspiration,a
557,cahrf_,a
558,averylane,a
559,ambikadevi,a
560,aroshanti,a
561,peaceloveaudio,a
562,almabyanaya,a
563,thealeeshasimone,a
564,athilacampos,a
565,attealhainen,a
566,anthonymyr,a
567,andreakanefrank,a
568,anja.benesch,a
569,annriddell,a
570,atmagovinda,a
571,theinstituteforaliveness,a
572,allisonlrichard,a
573,grigat,a
574,moss.alicia.b,a
575,lovebeancacao,a
576,antoniovibes,a
577,alexiszahner,a
578,ayyasudinna,a
579,adamdince,a
580,namastarkids,a
581,pub6446761,a
582,axismundi,a
583,abigailk,a
584,ambientologist,a
585,angelagrillo,a
586,boje17,a
587,asamiyoga,a
588,annakaminski,a
589,alexmoller,a
590,ayumitankejpn,a
591,angelica_badillo_coach,a
592,ashneu,a
593,adironnda,a
594,aureliaserena,a
595,inbalance-healing,a
596,anjikat,a
597,yogatherapygeelong,a
598,amberlove,a
599,adriana.gog,a
600,springspsychotherapy,a
601,amandasophia,a
602,annpbaker,a
603,any,a
604,americameditating,a
605,anchaljyoti,a
606,athenawong,a
607,pub1168177,a
608,alexandrapils,a
609,ajayanborys,a
610,annieaitken,a
611,watersoundman,a
612,ahartman13,a
613,aldream,a
614,abd-ha,a
615,andreamorgenstern,a
616,artofloving,a
617,atouchofzenyoga,a
618,yogingi,a
619,adriannadreams,a
620,adrianada.cunha,a
621,alexanzalone,a
622,anaisskoutariotis,a
623,thefullyinspiredyogi,a
624,anishalamba,a
625,tonimindfull,a
626,devasena,a
627,soulsagemusic,a
628,audrey,a
629,alon,a
630,adriarne,a
631,aislingquigleyaustralia,a
632,ashleybeasley,a
633,aparikh,a
634,annikpaprika,a
635,alba,a
636,andrewneel,a
637,alimortimer,a
638,anjas,a
639,aewickham,a
640,anacalvo,a
641,artiewu,a
642,annalarsonmusic,a
643,cosmic__whale,a
644,ahnaom,a
645,alexmurrieta,a
646,amandarodd,a
647,alexschuerman,a
648,yoginianna,a
649,aleelink,a
650,abidavis,a
651,anna_anna1,a
652,krapenitskiy,a
653,artemisvandevi,a
654,avidaquantica,a
655,everlong_yoga,a
656,sagamoreyoga,a
657,annsophie,a
658,kreida,a
659,spiritual-sunrise,a
660,augustahopkins,a
661,holistichealth,a
662,ayni,a
663,goodvibrations_ht,a
664,abedah_chasulwa,a
665,73alexanders,a
666,abbygoodwinlove,a
667,annerie,a
668,aaronzachariah,a
669,angelhu,a
670,annmathie,a
671,typeayoga,a
672,annagagliuffi,a
673,arielle.ashford,a
674,skeptic_buddha,a
675,aetheiros,a
676,zodiacastros,a
677,amandamadhu,a
678,angiehilton,a
679,abeautifulglow,a
680,amagine,a
681,anoukdamen,a
682,amandamiranda,a
683,fittayoga,a
684,astellavanheijst,a
685,afirmacoesparaalma,a
686,bartoa0223,a
687,aliss,a
688,angiecorogin,a
689,ashleyfiorili,a
690,relaxwithadam,a
691,alineneelama,a
692,splinkyourlife,a
693,alisonbristow,a
694,lowellness,a
695,aprillovett,a
696,alissadbla,a
697,annastina,a
698,ang,a
699,andrea_claassen,a
700,therapeutic_serenity,a
701,anja_lenz,a
702,amyvcooper,a
703,adrianajade,a
704,ajpucci,a
705,anittajensen,a
706,anneofthewoods,a
707,ardaozdemir,a
708,aileyjolie,a
709,callumsenergymedicine,a
710,amyrogg,a
711,borycoach,a
712,annkristinsivertsen,a
713,afromeditacao,a
