,teacher_id,med_list_batch_id
817,annecwellness,9
818,vidhavera,9
819,amandamackay,9
820,amycamie,9
821,ashleyvoth,9
822,mapadonascimento,9
823,anhkashichealing,9
824,arwenevenstar,9
825,anaflavia,9
826,arvavilov,9
827,ashking,9
828,ashley.renee,9
829,amylowerycounseling,9
830,alannahmorganyoga,9
831,refeelyoga,9
832,your.friend.arthur,9
833,aaronholisticarts,9
834,b-onemindfulness,9
835,andreafirpo,9
836,breathecreativity,9
837,angelshannon,9
838,functionalspirituality,9
839,azalealee,9
840,antheacesaro,9
841,abarrett1975,9
842,annanirvana,9
843,ashleystjohnyoga,9
844,amandaupton,9
845,yoga_with_anastasia,9
846,musiciann91,9
847,skymind,9
848,antheasimpson,9
849,amybradley,9
850,afeathers,9
851,alexprenzel,9
852,ameliaclare,9
853,alohajacqueline,9
854,abidorhosti,9
855,amoritazm,9
856,abia817,9
857,amyedelstein,9
858,ashleyepstein,9
859,adamsargant,9
860,annevanlaarhoven,9
861,arifonspsicologa,9
862,alexandrathomas,9
863,annebeaureder,9
864,amormuto,9
865,annamarie,9
866,samadhiyoganidra,9
867,alejandrabrugarolas,9
868,mindfulnessmaven,9
869,annachristinebowden,9
870,ariyanakimah,9
871,evenstarrising,9
872,amynatalieco,9
873,alejandro.cl,9
874,anijhawan,9
875,arunamay,9
876,amyballantyne,9
877,anikaludszuweit,9
878,bigskymind,9
879,antesajensen,9
880,alessandramiranda,9
881,ariannedacosta,9
882,apprendreletarot,9
883,alana_steicke,9
884,angelmassie,9
885,awakenedlife,9
886,universalbeing,9
887,andreavosikova,9
888,arunthompson,9
889,breathingalchemy,9
890,shantisoha,9
891,abbirodriguez,9
892,projectself,9
893,therealearthmama,9
894,albertorivera,9
895,andreacbachman,9
896,all1union,9
897,amandataylor,9
898,aliceletts,9
899,alayabarnes,9
900,ara.marz,10
901,radiantbeingyoga,10
902,ana_paula,10
903,anaisortizhomebody,10
904,alineoliveirarp,10
905,psicologajackieanaya,10
906,alexamazzei,10
907,niniyogini,10
908,soulcounselling,10
909,aliciarae_yoga,10
910,feelingeverything,10
911,amiashtangi,10
912,aline.lopes,10
913,shaydden_light,10
914,anna.will.yoga,10
915,alisonintheuniverse,10
916,alissaprice,10
917,meditacionenti,10
918,andrea_castillo,10
919,solinflow,10
920,temploanandi,10
921,amyedwardstherapy,10
922,angeletilly,10
923,sadejaleks,10
924,alimaya,10
925,annadavid,10
926,aprendebudismo,10
927,allisongraham,10
928,oordeelzacht,10
929,annemarie,10
930,avanayoga,10
931,deeperwisdom,10
932,annegallienvoices,10
933,annijakenfelds,10
934,aetheaum,10
935,andreakeefe,10
936,annetteboden,10
937,alicechepeau,10
938,annickina,10
939,das_wesentliche,10
940,abbywilliamz,10
941,alisonware,10
942,ambayoganyc,10
943,aislingleonard.ie,10
944,pub1964839,10
945,bolden_am,10
946,analidiamoraes,10
947,allanray,10
948,adriennlivingonlight,10
949,abbycraden,10
950,aksinia_yoga,10
951,soulnourishedmentor,10
952,anaromero.sowilo,10
953,araba.oa,10
954,aslita,10
955,amelielaurent,10
956,anatheresamsp,10
957,blissfulenergy,10
958,alimacmusic,10
959,stressfreephd,10
960,abri.kenin,10
961,soulandsunyoga,10
962,resilientone,10
963,shanki,10
964,brightjiva,10
965,akasavajrimartha,10
966,allisonswartswilliamson,10
967,breakthroughninja,10
968,annmurugan,10
969,amemanuelli,10
970,sheykah,10
971,asmaldino,10
972,anapaulaleme,10
973,adrianaelena,10
974,amandapalmer,10
975,sattvasoundstudio,10
976,fortunaliving,10
977,anahataananda,10
978,amandakuda,10
979,behealthywithanamarinho,10
980,almudenadeandres,10
981,ashleyweber,10
982,alexandragudereit,10
983,shigann,10
984,alicewyoga,10
985,rini,10
986,loginovaanna,10
987,omgirlalli,10
988,amberlebocsy,10
989,annadebbage,10
990,aliz.ruppl,10
991,adalenmae,10
992,arturlorenz,10
993,foundonallfours,10
994,alessia.goglio,10
995,ellamaria,10
996,zen_obi,10
997,meyora,10
998,beatpeacewithalison,10
999,amanda,10
1000,meyora,11
1001,amysatterfield,11
1002,pacedbreathing,11
1003,upgretable,11
1004,argos,11
1005,beyondomwithapril,11
1006,aliciadrake,11
1007,ayurnaada,11
1008,aeronlazar,11
1009,ashkilback,11
1010,lisadarveniza,11
1011,abigailmytych,11
1012,nativawellbeing,11
1013,alinaelvn,11
1014,dicamandinha,11
1015,anantakranti,11
1016,amalasiddhi,11
1017,agreenerlife,11
1018,amandajanealignmenttransformations,11
1019,alexsbertoli,11
1020,alexfisherintuitive,11
1021,amandajoy77,11
1022,andreaserafino,11
1023,aliah,11
1024,anastasiab,11
1025,yogatiger,11
1026,adelehoddinott,11
1027,treatyourselfwellness,11
1028,anyamaren,11
1029,amberstephens,11
1030,pasolympia,11
1031,pub3404212,11
1032,ammiel.elia,11
1033,abisjournal,11
1034,liminalliety,11
1035,amy.babish,11
1036,lovefillsmyheart,11
1037,lovinglightwork,11
1038,fitnessbyariel,11
1039,adamprieto,11
1040,angelasmith,11
1041,alexa_torontow,11
1042,annieborg,11
1043,iamunbotheredgoddess,11
1044,alovingspace,11
1045,gritmeditation,11
1046,anyakinneavy,11
1047,annazaikina,11
1048,angeli,11
1049,alkakaminer,11
1050,alisonxcromie,11
1051,angywolf,11
1052,alexure,11
1053,ava.chand,11
1054,asherpackman,11
1055,alexvannucci,11
1056,aleader,11
1057,pub15883595,11
1058,higherwisdom_555,11
1059,ashleydavisbush,11
1060,pub1947634,11
1061,alisaandrea,11
1062,ayreanna,11
1063,amarande_yoganidra,11
1064,anaortega,11
1065,iinak,11
1066,annhobbs,11
1067,arianakamprad,11
1068,aruldev,11
1069,atipler,11
1070,avrilintuitive,11
1071,amydunstan.com,11
1072,alicjabednarek,11
1073,acharyaprashant,11
1074,space.of.silence,11
1075,andrealane1,11
1076,ansbreetveld,11
1077,amber56,11
1078,amaraprem,11
1079,amymarsden,11
1080,allisoncloud,11
1081,wolfclanwellness,11
1082,seed2star,11
1083,altair,11
1084,angelinastrobel,11
1085,boundlessmeditationss,11
1086,addie_deacon,11
1087,anita_carter,11
1088,annekuebart,11
1089,throughtheveil,11
1090,anneaaa,11
1091,theenchantedwolf,11
1092,selfinthecity,11
1093,airenpatterson,11
1094,alyssa,11
1095,annaottenhall,11
1096,theannasilva,11
1097,alexandrah,11
1098,yesspm92,11
1099,afonsodamiao,11
1100,aleshamcneill,12
1101,alijfitch,12
1102,amitsonig,12
1103,vibrantsoulful,12
1104,alaiahawareness,12
1105,thejourneyoftheheart,12
1106,alisavenskaya_psy,12
1107,alisazingman,12
1108,adrianavilli,12
1109,anettekornberg,12
1110,ann,12
1111,anouckrivet,12
1112,anahatastudio,12
1113,steelskis,12
1114,kalerunner1,12
1115,andyb,12
1116,angelabrancatella,12
1117,angiemccourt,12
1118,audrashimek,12
1119,andrea.soccol,12
1120,arianavb,12
1121,alexyogalates,12
1122,realhappyyoga,12
1123,sjamanpust,12
1124,alexvazquez,12
1125,aditiloveridge,12
1126,arjandevayoga,12
1127,ameliarose10,12
1128,astateofcalm,12
1129,gertseva,12
1130,aaprovencal,12
1131,bubbleyoga,12
1132,amyjahn,12
1133,amandavibess,12
1134,alphawarrioryoga,12
1135,agatakorelskyay,12
1136,undefined,12
1137,alfonsoblasini,12
1138,agrace,12
1139,aseaton,12
1140,adasilvauk,12
1141,pub16772924,12
1142,arvindarvind,12
1143,foodbymars,12
1144,antoniedemmel,12
1145,anthonylombardo,12
1146,balancedmindfulness,12
1147,reikiawakeningacademy,12
1148,abalancedlifestyle,12
1149,moonsongmystic,12
1150,moonsongmystic,12
1151,angelaaccomando,12
1152,yogachangeonline,12
1153,movedbygracecounseling,12
1154,anickpatry,12
1155,aripinho,12
1156,aliloski,12
1157,mischief.meditations,12
1158,alishaolivierpark,12
1159,arnaudsaintpaul,12
1160,aubreyadams111,12
1161,amarta,12
1162,antonboels_mindyou,12
1163,stehel,12
1164,alexandrajoy,12
1165,aubergreen,12
1166,abbiemood,12
1167,alix,12
1168,ashleyalexandra,12
1169,lifecoachade,12
1170,adri.anahata,12
1171,axelrigaud,12
1172,adamcoutts,12
1173,descubriendolapsicoterapia,12
1174,beyondknowing,12
1175,pub113779,12
1176,webbercounseling,12
1177,annalinarescuba,12
1178,ashleyreikiyoga,12
1179,anni.witt,12
1180,asanna,12
1181,wyldmagpie,12
1182,respire_holistics,12
1183,drandrea108,12
1184,alessandra10,12
1185,angelinaholt,12
1186,alexforteau,12
1187,allison_rutley,12
1188,annaspivak,12
1189,alinecampidele,12
1190,annevmuhlethaler,12
1191,prudencemoneypenny,12
1192,anichi,12
1193,alinamahiyan,12
1194,innerpieces,12
1195,amymillie,12
1196,themindfulmistress,12
1197,alenasakara,12
1198,undefined,12
1199,rosealchemyhealing,12
1200,alissw,13
1201,ola.yogini,13
1202,anishkabagla,13
1203,academyoftantricscience,13
1204,annegriffin,13
1205,abigailmensahbonsu,13
1206,mindinnature,13
1207,annemichikotango,13
1208,alinasworld,13
1209,agnesgoodwine,13
1210,andreabaykir,13
1211,aryanasolh,13
1212,annalegrange,13
1213,ashlynbugbee,13
1214,dia_bodyandmind,13
1215,amandaeloesh,13
1216,aceonearth,13
1217,aayar,13
1218,carebyalex,13
1219,anishamaheshwari,13
1220,alexandrataylor,13
1221,anaespinosabe,13
1222,moonvalleyyoga,13
1223,blossominglotusreiki,13
1224,thespiritualexplorer,13
1225,amiraruby,13
1226,thenativepath,13
1227,alexandrarosehealing,13
1228,annanda,13
1229,communicativemeditation,13
1230,akasharose,13
1231,angelakoolmees,13
1232,hometribeoracle,13
1233,andrefonsecaarguello,13
1234,nativhealing,13
1235,annieharvey,13
1236,alyona.pavlova,13
1237,alexyoga.tantra,13
1238,undefined,13
1239,annacusackpostpartum,13
1240,fredysa,13
1241,av2,13
1242,alyssakuzins,13
1243,pub5195008,13
1244,allison.jane,13
1245,alliegaliardo,13
1246,anitaslowig,13
1247,selfissource,13
1248,artbysurya,13
1249,shinelighttherapy,13
1250,shinelighttherapy,13
1251,feelfreewithamanda,13
